order,name,description,vector,type,units,region,2021,2022,2023,2024
121,"IMPX(g02,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0
122,"IMPX(g02,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0
123,"IMPX(g02,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0
124,"IMPX(g02,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0
125,"IMQ(g01,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,0.85074612,0.90519262,0.82434478,0.83237677
126,"IMQ(g01,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,0.85074612,0.90519262,0.82434478,0.83237677
127,"IMQ(g02,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,13.19231073,14.0365991,12.78291155,12.90746165
128,"IMQ(g02,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,13.19231073,14.0365991,12.78291155,12.90746165
129,IMQT(USA),value of imports at destination,end,z1l,gdp,USA,14.04305685,14.94179172,13.60725633,13.73983841
130,IMQT(ROW),value of imports at destination,end,z1l,gdp,ROW,14.04305685,14.94179172,13.60725633,13.73983841
131,INAS(USA),nominal USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0
132,INAS(ROW),nominal USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0
133,INCM(USA),after tax household income,end,z1l,gdp,USA,66.23003781,66.50711521,66.39302862,66.45098743
134,INCM(ROW),after tax household income,end,z1l,gdp,ROW,66.23003781,66.50711521,66.39302862,66.45098743
135,INFCL(USA),household materials inflation rate,end,z1l,pct,USA,6.87095026,6.87095026,3.63340059,2.45205817
136,INFCL(ROW),household materials inflation rate,end,z1l,pct,ROW,6.87095026,6.87095026,3.63340059,2.45205817
137,INFL(USA),consumer price inflation,end,z1l,pct,USA,6.33602101,6.33602101,3.72835299,2.58455568
138,INFL(ROW),consumer price inflation,end,z1l,pct,ROW,6.33602101,6.33602101,3.72835299,2.58455568
139,INFP(USA),output price inflation,end,z1l,pct,USA,6.87095026,6.87095026,3.63340059,2.45205817
140,INFP(ROW),output price inflation,end,z1l,pct,ROW,6.87095026,6.87095026,3.63340059,2.45205817
141,INFX(USA),inflation target,exo,exo,pct,USA,2.5,2.5,2.5,2.5
142,INFX(ROW),inflation target,exo,exo,pct,ROW,2.5,2.5,2.5,2.5
143,"INS(USA,g01)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0
144,"INS(USA,g02)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0
145,"INS(ROW,g01)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0
146,"INS(ROW,g02)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0
147,INTF(USA),"risk free interest rate, short-run, real",end,z1l,pct,USA,-6.75678359,-1.40590059,2.72544183,2.59877516
148,INTF(ROW),"risk free interest rate, short-run, real",end,z1l,pct,ROW,-6.75678359,-1.40590059,2.72544183,2.59877516
149,INTL(USA),"interest rate, short-run, nominal - lagged",sta,x1l,pct,USA,0.11416667,0.11416667,2.2275,5.1775
150,INTL(ROW),"interest rate, short-run, nominal - lagged",sta,x1l,pct,ROW,0.11416667,0.11416667,2.2275,5.1775
151,INTN(USA),"interest rate, short (policy), nominal",stl,x1l,pct,USA,0.11416667,2.2275,5.1775,5.05083333
152,INTN(ROW),"interest rate, short (policy), nominal",stl,x1l,pct,ROW,0.11416667,2.2275,5.1775,5.05083333
153,INTR(USA),"risk adjusted interest rate, short-run, real",end,z1l,pct,USA,-6.75678359,-1.40590059,2.72544183,2.59877516
154,INTR(ROW),"risk adjusted interest rate, short-run, real",end,z1l,pct,ROW,-6.75678359,-1.40590059,2.72544183,2.59877516
155,INTX(USA),shock to interest rate target,exo,exo,pct,USA,0,0,2.7484416,0
156,INTX(ROW),shock to interest rate target,exo,exo,pct,ROW,0,0,2.7484416,0
157,"INV(a01,USA)",raw investment,end,z1l,gdp,USA,1.28083911,1.30819287,1.30667275,1.29401476
158,"INV(a01,ROW)",raw investment,end,z1l,gdp,ROW,1.28083911,1.30819287,1.30667275,1.29401476
159,"INV(a02,USA)",raw investment,end,z1l,gdp,USA,15.68956762,15.86109845,15.86285072,15.74451858
160,"INV(a02,ROW)",raw investment,end,z1l,gdp,ROW,15.68956762,15.86109845,15.86285072,15.74451858
161,INVP(USA),total investment by standard sectors,end,z1l,gdp,USA,16.97040673,17.16929132,17.16952348,17.03853334
162,INVP(ROW),total investment by standard sectors,end,z1l,gdp,ROW,16.97040673,17.16929132,17.16952348,17.03853334
163,INVT(USA),total investment including by households,end,z1l,gdp,USA,20.46760815,20.73082201,20.70154024,20.55027857
164,INVT(ROW),total investment including by households,end,z1l,gdp,ROW,20.46760815,20.73082201,20.70154024,20.55027857
165,INVY(USA),raw investment of raw capital sector,end,z1l,gdp,USA,0.4216241,0.43233544,0.42934071,0.42363603
166,INVY(ROW),raw investment of raw capital sector,end,z1l,gdp,ROW,0.4216241,0.43233544,0.42934071,0.42363603
167,INVZ(USA),household investment,end,z1l,gdp,USA,3.07557733,3.12919525,3.10267605,3.0881092
168,INVZ(ROW),household investment,end,z1l,gdp,ROW,3.07557733,3.12919525,3.10267605,3.0881092
169,IRAS(USA),real USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0
170,IRAS(ROW),real USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0
171,"JNV(a01,USA)",installed investment,end,z1l,gdp,USA,1.13335327,1.15598425,1.15545691,1.14492476
172,"JNV(a01,ROW)",installed investment,end,z1l,gdp,ROW,1.13335327,1.15598425,1.15545691,1.14492476
173,"JNV(a02,USA)",installed investment,end,z1l,gdp,USA,13.88294801,14.01565501,14.02710856,13.93051274
174,"JNV(a02,ROW)",installed investment,end,z1l,gdp,ROW,13.88294801,14.01565501,14.02710856,13.93051274
175,JNVY(USA),installed investment in the raw capital sector,end,z1l,gdp,USA,0.373075,0.38203309,0.37965488,0.37482677
176,JNVY(ROW),installed investment in the raw capital sector,end,z1l,gdp,ROW,0.373075,0.38203309,0.37965488,0.37482677
177,JNVZ(USA),installed household investment,end,z1l,gdp,USA,2.98543071,3.03846488,3.01244653,2.99787568
178,JNVZ(ROW),installed household investment,end,z1l,gdp,ROW,2.98543071,3.03846488,3.01244653,2.99787568
179,"LAB(a01,USA)",sector demand for labor,end,z1l,gdp,USA,0.75182636,0.75788244,0.76216237,0.75900151
180,"LAB(a01,ROW)",sector demand for labor,end,z1l,gdp,ROW,0.75182636,0.75788244,0.76216237,0.75900151
181,"LAB(a02,USA)",sector demand for labor,end,z1l,gdp,USA,46.80423892,46.69975148,47.02330442,46.93361815
182,"LAB(a02,ROW)",sector demand for labor,end,z1l,gdp,ROW,46.80423892,46.69975148,47.02330442,46.93361815
183,LABO(USA),labor demand,end,z1l,gdp,USA,51.22581776,51.14895882,51.47170645,51.37516555
184,LABO(ROW),labor demand,end,z1l,gdp,ROW,51.22581776,51.14895882,51.47170645,51.37516555
185,LABX(USA),labor supply,exo,exo,gdp,USA,51.22581776,51.14895882,51.47170645,51.37516555
186,LABX(ROW),labor supply,exo,exo,gdp,ROW,51.22581776,51.14895882,51.47170645,51.37516555
187,"LAM(a01,USA)",marginal value of a unit of capital,cos,j1l,pct,USA,125.82892749,127.83143674,125.68266935,124.83948999
188,"LAM(a01,ROW)",marginal value of a unit of capital,cos,j1l,pct,ROW,125.82892749,127.83143674,125.68266935,124.83948999
189,"LAM(a02,USA)",marginal value of a unit of capital,cos,j1l,pct,USA,125.82892749,127.83143674,125.68266935,124.83948999
190,"LAM(a02,ROW)",marginal value of a unit of capital,cos,j1l,pct,ROW,125.82892749,127.83143674,125.68266935,124.83948999
191,LAMY(USA),"marginal value of capital, raw capital sector",cos,j1l,pct,USA,125.82892749,127.83435028,125.68167002,124.83905185
