order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
58,"ENT(a02,ROW)",sector demand for energy,end,z1l,gdp,ROW,3.76923998,3.76712769,3.77377298,3.77665261,3.74883685,3.74049393,3.76622357,3.75903232
59,EPRC(USA),expected consumer price inflation rate,end,z1l,pct,USA,2.02632822,1.42230376,1.11223209,4.03165185,6.33602101,3.72835299,2.58455568,2.58455568
60,EPRC(ROW),expected consumer price inflation rate,end,z1l,pct,ROW,2.02632822,1.42230376,1.11223209,4.03165185,6.33602101,3.72835299,2.58455568,2.58455568
61,EXCH(USA),exch rate as US$ per unit of region currency,stl,x1l,idx,USA,100,100,100,100,100,100,100,100
62,EXCH(ROW),exch rate as US$ per unit of region currency,stl,x1l,idx,ROW,100,100,100,100,100,100,100,100
63,EXCL(USA),exch rate as US$ per unit of region currency - lagged,sta,x1l,idx,USA,100,100,100,100,100,100,100,100
64,EXCL(ROW),exch rate as US$ per unit of region currency - lagged,sta,x1l,idx,ROW,100,100,100,100,100,100,100,100
65,EXCR(USA),country risk premium relative to US,exo,exo,pct,USA,0,0,0,0,0,0,0,0
66,EXCR(ROW),country risk premium relative to US,exo,exo,pct,ROW,0,0,0,0,0,0,0,0
67,EXCX(USA),exchange rate target percentage change,exo,exo,pct,USA,0,0,0,0,0,0,0,0
68,EXCX(ROW),exchange rate target percentage change,exo,exo,pct,ROW,0,0,0,0,0,0,0,0
69,"EXQ(g01,USA)","exports, EXP.xx",end,z1l,gdp,USA,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
70,"EXQ(g01,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
71,"EXQ(g02,USA)","exports, EXP.xx",end,z1l,gdp,USA,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
72,"EXQ(g02,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
73,EXQT(USA),value of exports at source,end,z1l,gdp,USA,14.66521747,14.87781289,14.22478749,12.71886041,14.04723345,14.93980866,13.63239702,13.7652651
74,EXQT(ROW),value of exports at source,end,z1l,gdp,ROW,14.66521747,14.87781289,14.22478749,12.71886041,14.04723345,14.93980866,13.63239702,13.7652651
75,EYGR(USA),expected output growth,end,z1l,pct,USA,5.23358784,4.17930877,-0.56290112,10.50084003,9.35677649,6.23927356,5.30685699,5.30685699
76,EYGR(ROW),expected output growth,end,z1l,pct,ROW,5.23358784,4.17930877,-0.56290112,10.50084003,9.35677649,6.23927356,5.30685699,5.30685699
77,"GCE(g01,USA)",government purchases of goods and services,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
78,"GCE(g01,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
79,"GCE(g02,USA)",government purchases of goods and services,end,z1l,gdp,USA,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
80,"GCE(g02,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
